,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
323,Ukraine War SitRep,@UKRWarSitRep,2022-02-26T19:54:45.000Z,"Ukraine War SitRep
@UKRWarSitRep
·
3h","A captured major of the Russian army.

#Ukraine #UkraineWar #Russia #UkraineInvasion
0:19
73.7K views
90
193
1,092",,90,193,"1,092",[],https://twitter.com/UKRWarSitRep/status/1497661431847739393
324,issa,@issaeth,2022-02-26T20:35:33.000Z,"issa
@issaeth
·
2h","Ukraine soldiers captured a Russian major as pow #Ukraine #UkraineUnderAttack #UkraineRussiaWar #Kyiv #Russia
27
88
499",,27,88,499,[],https://twitter.com/issaeth/status/1497671701492080649
325,ukrayrussia,@ukrayrussia,2022-02-26T22:38:18.000Z,"ukrayrussia
@ukrayrussia
·
24m","The soldier is only 21 years old fighting for his country. He's the only one guarding the footbridge of Kyiv.

This is heartbreaking 

#UkraineUnderAttack #UkraineWar #UkrainRussiaWar Ukraine. Kyiv. Russia.
16
45
405",😩 💔,16,45,405,[],https://twitter.com/ukrayrussia/status/1497702593484627972
326,Ukraine News Now,@NewUkraineNews,2022-02-26T18:49:43.000Z,"Ukraine News Now
@NewUkraineNews
·
4h","Graphic: More Video of the Ambulance that was attacked by Russian Forces on route to a hospital: #UkraineUnderAttack #UkraineRussia
36
253
372",,36,253,372,[],https://twitter.com/NewUkraineNews/status/1497645064859881472
327,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T14:31:48.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
8h","Live from Ireland: Dublin city centre making their feelings clear. 
Slava Ukraini (Glory to Ukraine)  

#Ukraine #Protest #Dublin #SlavaUkraini
10
242
1,093",,10,242,"1,093",[],https://twitter.com/WW32022/status/1497580159737774091
328,Tajamul Hussain,@Tajamul_huxainn,2022-02-26T21:00:08.000Z,"Tajamul Hussain
@Tajamul_huxainn
·
2h","Her Face says it all !! Be it Ukraine , Palestine , Kashmir or Afghanistan … No one deserves this .. NO ONE !! #RussiaUkraineWar #UkraineUnderAttack #UkraineWar #UkraineRussiaWar
0:37
33.4K views
8
60
249",,8,60,249,[],https://twitter.com/Tajamul_huxainn/status/1497677887029215233
329,Breaking News | Ukraine Russia War,@nowlatestnews,2022-02-26T09:20:21.000Z,"Breaking News | Ukraine Russia War
@nowlatestnews
·
13h","A video of many Russian vehicles that were annihilated by Ukrainian defenders

 #russia #ukraine
90
650
2,912",,90,650,"2,912",[],https://twitter.com/nowlatestnews/status/1497501780401598467
330,Eric Bowen,@scrappydog,2022-02-26T15:52:26.000Z,"Eric Bowen
@scrappydog
·
7h","Making tank traps and Molotov cocktails…
Red Dawn energy #Ukraine #SlavaUkraini #Wolverines
From 
Ukraine Live
34
325
1,598",,34,325,"1,598",[],https://twitter.com/scrappydog/status/1497600450664624128
331,ज़िंदा Democracy,@ZindaDemocracy,2022-02-26T09:19:42.000Z,"ज़िंदा Democracy
@ZindaDemocracy
·
13h","#Zelensky addressed the people. ""Good morning everybody. Do not believe fake news. I am here. We will not lay down our weapons. We will defend our state. Our weapons are our strength. This is our land. Our country. Our children. We will protect all of them.” #Ukraine #RussianArmy
43
467
2,097",,43,467,"2,097",[],https://twitter.com/ZindaDemocracy/status/1497501616177827844
332,ARKANGEL,@MACHINEGUNFATII,2022-02-26T20:13:04.000Z,"ARKANGEL
@MACHINEGUNFATII
·
2h","“We are here to warmly receive our “brothers” from Russia”

#Ukraine #UkraineUnderAttack #UkraineRussiaWar #UkraineWar
0:12
87.3K views
28
138
1,193",,28,138,"1,193",[],https://twitter.com/MACHINEGUNFATII/status/1497666044143407105
333,#STOPWAR,@kraloyunsa,2022-02-26T11:21:57.000Z,"#STOPWAR
@kraloyunsa
·
11h","A captured Russian soldier was seen crying after the public's reaction in the city of Sumy. The reason for this and many others is Putin.

#Kiev #Ukraine #StopRussia #UkraineUnderAttack #UkraineRussia #StandWithUkriane
From 
#STOPWAR
97
395
1,990",🔴,97,395,"1,990",[],https://twitter.com/kraloyunsa/status/1497532382647308288
334,Ukraine live,@berojag59060636,2022-02-26T17:33:36.000Z,"Ukraine live
@berojag59060636
·
5h","#Ukraine A captured Russian soldier was seen crying after the public's reaction in the city of Sumy. The reason for this and many others is Putin.  new scene

#Kiev #Ukraine #StopRussia #UkraineUnderAttack #UkraineRussia #StandWithUkriane
65
295
1,022",,65,295,"1,022",[],https://twitter.com/berojag59060636/status/1497625912388784129
335,RUSSIA vs Ukraine #2022,@W_W_32022,2022-02-26T19:08:43.000Z,"RUSSIA vs Ukraine #2022
@W_W_32022
·
3h","Ukrainian citizens throw Molotov cocktails at Russian vehicles. #Ukraine #UkraineRussiaWar #RussianArmy
21
161
930",,21,161,930,[],https://twitter.com/W_W_32022/status/1497649847704293377
336,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T18:44:46.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
4h","Interview with Sergiy Petroshenko, a 21 year old #Ukrainian soldier guarding this footbridge in Kyiv #Ukraine #RussiaUkraineWar #UkraineUnderAttack #UkraineInvasion #Russia
13
76
492",,13,76,492,[],https://twitter.com/theghostofkyiv_/status/1497643819822551040
337,Ukraine Video Updates,@StephenOmbaso,2022-02-26T21:43:46.000Z,"Ukraine Video Updates
@StephenOmbaso
·
1h","A fool will like and forget to retweet, an Idiot will ignore. Wise people will like, retweet and comment.
#Ukraine #UkraineUnderAttack #Kiev #RussiaUkraineWar #Kyiv #StopRussianAggression 
7
20
67",,7,20,67,[],https://twitter.com/StephenOmbaso/status/1497688866823811073
338,We Stand With Ukraine,@jogarcia618,2022-02-26T16:32:59.000Z,"We Stand With Ukraine
@jogarcia618
·
6h","Captured Russian soldier seen crying. Putin is responsible for the suffering of many Ukrainians and Russians. #Ukraine #UkraineUnderAttack #UkraineRussiaWar #RussiaUkraineWar
76
369
2,125",,76,369,"2,125",[],https://twitter.com/jogarcia618/status/1497610656115314695
339,UK is with EU,@ukiswitheu,2022-02-26T09:08:11.000Z,"UK is with EU
@ukiswitheu
·
13h","Tory James Heappey refuses to say if England will accept Ukrainian refugees

#UkraineUnderAttack
93
252
259",,93,252,259,[],https://twitter.com/ukiswitheu/status/1497498719138238467
340,Анастасія,@anastasiakalyna,2022-02-26T22:24:54.000Z,"Анастасія
@anastasiakalyna
·
38m","#Kyiv #Ukrania #PrayingForUkraine #BREAKING #NATO
#HelpUkraine
The radio reports that the assault is imminent, they ask us to seek shelter, it will be carnage, I no longer have a battery in my phone, I hope to be alive in the morning.
24
35
253",,24,35,253,[],https://twitter.com/anastasiakalyna/status/1497699220362776576
341,TK_Nala,@NalaThokozane,2022-02-26T07:27:32.000Z,"TK_Nala
@NalaThokozane
·
15h","NATO and the US must move out of Eastern Europe and this war will end. 

Putin is no mad man, he is responding to this aggressive military expansion by NATO and US. 

Western media will not tell u this. 

#UkraineRussiaConflict #UkraineRussiaWar
2:04
61.6K views
135
441
1,251",,135,441,"1,251",[],https://twitter.com/NalaThokozane/status/1497473387773390849
342,Dominic Miller,@DominicMillerCa,2022-02-26T15:41:18.000Z,"Dominic Miller
@DominicMillerCa
·
7h","To my fellow Canadians in Ottawa! Let's to this too!  #Russia #Ukraine
26
174
875",✊ 😍,26,174,875,[],https://twitter.com/DominicMillerCa/status/1497597651361177603
343,Nessa,@IntelNessa,2022-02-26T18:48:51.000Z,"Nessa
@IntelNessa
·
4h","BREAKING: The capital of Ukraine is under attack by Russian forces for the second night in a row.

#Ukraine #Russia #Kyiv
35
174
659",🚩,35,174,659,[],https://twitter.com/IntelNessa/status/1497644849692037123
344,NewsReader,@NewsReaderYT,2022-02-26T00:51:16.000Z,"NewsReader
@NewsReaderYT
·
22h","""Take these seeds so sunflowers grow when you die here.""

A Ukrainian woman accosted a Russian invader in a viral clip. 

#RussiaUkraineWar #WWIII #Ukraine #UkraineUnderAttack
188
1,912
8,235",,188,"1,912","8,235",[],https://twitter.com/NewsReaderYT/status/1497373665658388484
345,Ukraine live,@berojag59060636,2022-02-26T14:10:32.000Z,"Ukraine live
@berojag59060636
·
8h","#Ukraine #Ukraine - 20220226 - #Kiev - An reported Ukrainian fighter jet fires an missile around 14.47 pm #UkraineWar
0:07
69K views
16
144
551",,16,144,551,[],https://twitter.com/berojag59060636/status/1497574806153490432
346,xxxxXantiXxxxx,@xx0XantiX0xx,2022-02-26T18:11:57.000Z,"xxxxXantiXxxxx
@xx0XantiX0xx
·
4h","Calls for an end to the war in Ukraine at a protest today outside the Russian embassy in Dublin, more #UkraineRussia #Hungary #Ukraine #UkraineUnderAttack #UkraineRussiaWar #RussianArmy #russianinvasion #Russian #RussiaInvadedUkraine #Ukrania
3
5",,,3,5,[],https://twitter.com/xx0XantiX0xx/status/1497635562051747840
347,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T18:36:25.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
4h","#Ukraine’s heavyweight champion of the world Oleksandr Usyk with a powerful message to Vladimir Putin and the people of #Russia #RussiaUkraineWar #UkraineUnderAttack #UkraineInvasion
20
131",,,20,131,[],https://twitter.com/theghostofkyiv_/status/1497641717754851328
348,Nicolás Fernández,@nickfernandezz,2022-02-26T06:19:40.000Z,"Nicolás Fernández
@nickfernandezz
·
16h","Rocket launcher shooting at a Russian Jet

Lanza Cohetes dispara a Jet Ruso

#UkraineRussia 
#Guerra 
#RussiaUkraineConflict 
#RussianArmy 
#UkraineUnderAttack 
#UkraineConflict
11
35
134",,11,35,134,[],https://twitter.com/nickfernandezz/status/1497456311595941888
349,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T04:25:01.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
18h","#Ukrainian soldier embraces his family before leaving to fight for his country #Ukraine #UkraineInvasion #RussiaUkraineWar #Russia
14
123
654",,14,123,654,[],https://twitter.com/theghostofkyiv_/status/1497427458005499905
350,kaia,@skai120,2022-02-26T12:56:59.000Z,"kaia
@skai120
·
10h","This is my favorite video so far!! 

#ukraine #UkraineUnderAttack #putin #russia #UkraineWar #kiev #russianinvasion
24
194
919",😂 😂,24,194,919,[],https://twitter.com/skai120/status/1497556299009122309
351,Russia-Ukraine Latest News,@RussiaUkraineNs,2022-02-26T20:32:47.000Z,"Russia-Ukraine Latest News
@RussiaUkraineNs
·
2h","A captured major of the Russian army.

#Ukraine #Russia #Putin #NATO #Kyiv
0:20
42.9K views
48
104
536",,48,104,536,[],https://twitter.com/RussiaUkraineNs/status/1497671004726116352
352,RUSSIA vs Ukraine #2022,@W_W_32022,2022-02-26T18:30:14.000Z,"RUSSIA vs Ukraine #2022
@W_W_32022
·
4h","Fighting on the streets of #Kyiv earlier today 

#UkraineUnderAttack #UkraineRussiaWar #UkraineWar
1
23
87",,1,23,87,[],https://twitter.com/W_W_32022/status/1497640163723206660
353,Ukraine live,@berojag59060636,2022-02-26T17:22:20.000Z,"Ukraine live
@berojag59060636
·
5h","#Ukraine This is what happened after Russians hit a civilian building in Kiev.
Ukrainians, resist! 
#Ukrayna #Kiev
#UkraineWar #UkraineUnderAttack #UkraineRussiaConflict
9
108
419",,9,108,419,[],https://twitter.com/berojag59060636/status/1497623075021492226
354,issa,@issaeth,2022-02-26T21:02:48.000Z,"issa
@issaeth
·
2h","++ UPDATE ++ 
Air Sirens going off in Kyev at this moment! #Ukraine #UkraineUnderAttack #UkraineRussiaWar #Kyiv #Russia
8
42
186",,8,42,186,[],https://twitter.com/issaeth/status/1497678557610496006
355,Ishha,@Ishha14,2022-02-26T18:46:56.000Z,"Ishha
@Ishha14
·
4h"," shooting in Kiev #Kiev #RussianArmy #Russian
0:18
7,008 views
2
6
15",,2,6,15,[],https://twitter.com/Ishha14/status/1497644366369751042
356,THE GHOST OF KYIV,@theghostofkyiv_,2022-02-26T18:43:19.000Z,"THE GHOST OF KYIV
@theghostofkyiv_
·
4h","#Ukrainian’s making Molotov cocktails and tank traps #Ukraine #RussiaUkraineWar #UkraineUnderAttack #UkraineInvasion #Russia
1
18
102",,1,18,102,[],https://twitter.com/theghostofkyiv_/status/1497643456633532417
357,Ukraine live,@berojag59060636,2022-02-26T16:36:58.000Z,"Ukraine live
@berojag59060636
·
6h","#Ukraine #Ukraine How the Ukrainian army deals with the russian military on its land.
#UkraineRussiaWar #Ukrainian #RussiaInvadesUkraine #UkraineRussia #UkraineUnderAttack
37
194
870",,37,194,870,[],https://twitter.com/berojag59060636/status/1497611661212934144
358,We stand with Ukraine,@Westandwith2,2022-02-26T10:39:23.000Z,"We stand with Ukraine
@Westandwith2
·
12h","Russian occupation is threatening millions in Eastern #Ukraine. We stand with the Ukraine and we need you to stand with us. Follow us.
Ukrainian kiev #UkraineUnderAttack  #UkraineWar #UkraineInvasion
From 
R.09
1
29
66",,1,29,66,[],https://twitter.com/Westandwith2/status/1497521668641767429
359,Ukraine live,@berojag59060636,2022-02-26T02:55:57.000Z,"Ukraine live
@berojag59060636
·
20h","#Ukraine Ukrainians let a captured Russian soldier to call his parents and inform them #Ukraine #Russia #Putin #Kiev #UkraineRussia #UkraineUnderAttack #UkraineRussiaWar
0:44
119.8K views
51
217
1,087",,51,217,"1,087",[],https://twitter.com/berojag59060636/status/1497405043292528640
360,RealestWar,@RealestWar,2022-02-26T19:06:54.000Z,"RealestWar
@RealestWar
·
3h","Ukrainian guys say „Russians gonna die” #Kyiv   #UkraineUnderAttack   #Ukraine   #ukrainewar   #UkraineRussiaWar   #UkraineInvasion   #UkraineRussie
1
4
11",,1,4,11,[],https://twitter.com/RealestWar/status/1497649389678039046
361,Victoria Jacobs,@victoire_jacobs,2022-02-26T14:07:35.000Z,"Victoria Jacobs
@victoire_jacobs
·
8h","Ukrainian civilians capture group of #Russia|n special forces hiding in a basement. There was a shoot-out between them overnight.
#Ukraine #UkraineWar
5
42
130",,5,42,130,[],https://twitter.com/victoire_jacobs/status/1497574063623090183
362,Russia-Ukraine Latest News,@RussiaUkraineNs,2022-02-26T12:38:48.000Z,"Russia-Ukraine Latest News
@RussiaUkraineNs
·
10h","Thousands of people  in Helsinki, Finland chanting “We want peace, help Ukraine”. 
#StandWithUkraine #Ukraine #Russia #Putin #NATO #Kyiv
8
188
945",,8,188,945,[],https://twitter.com/RussiaUkraineNs/status/1497551723207938052
363,Amadu wurrie Jalloh,@AmaduwurrieJa11,2022-02-26T15:14:30.000Z,"Amadu wurrie Jalloh
@AmaduwurrieJa11
·
7h"," #BREAKING Big action of support Ukraine in the center of the Estonian capital. #Ukrania #Kyiv #Russia
0:12
27.8K views
5
48
275",🔴,5,48,275,[],https://twitter.com/AmaduwurrieJa11/status/1497590907541102595
364,Nessa,@IntelNessa,2022-02-26T19:15:12.000Z,"Nessa
@IntelNessa
·
3h","NEW: Russian Mi-24 helicopter shot down in Ukraine.

#Ukraine #Russia #UkraineRussia
16
79
419",🚩,16,79,419,[],https://twitter.com/IntelNessa/status/1497651479901097989
365,Nessa,@IntelNessa,2022-02-26T18:25:57.000Z,"Nessa
@IntelNessa
·
4h","NEW: Molotov cocktails are thrown at Russian vehicles in Lutsk, Ukraine.

#Ukraine #Russia #UkraineUnderAttack
27
146
1,037",🚩,27,146,"1,037",[],https://twitter.com/IntelNessa/status/1497639086961614850
366,Ghost of Kyïv,@J1Cup,2022-02-26T19:06:44.000Z,"Ghost of Kyïv
@J1Cup
·
3h","This dude, The Ghost of Kyiv! #Ukraine  #UkraineRussiaWar
17
49
514",,17,49,514,[],https://twitter.com/J1Cup/status/1497649348007636997
367,UATV English,@UATV_en,2022-02-26T16:32:03.000Z,"UATV English
@UATV_en
·
6h","#Helsinki today! #Finland  stands with #Ukraine 
People sing Ukraine's anthem in solidarity with Ukrainians
#StandWithUkraine #StopRussianAggression #UkraineUnderAttack #StopPutin
1
78
286",,1,78,286,[],https://twitter.com/UATV_en/status/1497610420345090053
368,RickieLeakz,@rickieleakz,2022-02-26T10:40:04.000Z,"RickieLeakz
@rickieleakz
·
12h","Ukrainians gathering in Warsaw, Poland chanting “thank you” directed toward Poland for announcing that the country will receive all Ukrainian refugees that need protection. #Ukraine #Russia #UkraineUnderAttack
32
226
1,770",,32,226,"1,770",[],https://twitter.com/rickieleakz/status/1497521843795812352
369,News Ukraine,@newsukraine_,2022-02-26T14:54:29.000Z,"News Ukraine
@newsukraine_
·
8h","Russian plane
#Ukraine #UkraineWar
0:33
53K views
12
79
442",,12,79,442,[],https://twitter.com/newsukraine_/status/1497585869271752709
370,EthanPlaysLive,@ethanplayslive,2022-02-26T01:26:46.000Z,"EthanPlaysLive
@ethanplayslive
·
21h","This Ukrainian soldier's balls-to-the-wall message to the invading Russian army is epic.

#StandWithUkriane #UkraineUnderAttack
#DefeatPutin
28
372
1,817",,28,372,"1,817",[],https://twitter.com/ethanplayslive/status/1497382600301858821
371,Ми тут значить обирали всім народом,@red_brin121,2022-02-26T00:18:15.000Z,"Ми тут значить обирали всім народом
@red_brin121
·
22h","This is how the Russian ambassador in #Dublin now commutes to work

 Thanks to everyone who supports outside of Ukraine
#Ukriane #UkraineRussiaWar
26
134
837",❤,26,134,837,[],https://twitter.com/red_brin121/status/1497365359204122629
372,Ukraine live,@berojag59060636,2022-02-26T14:16:57.000Z,"Ukraine live
@berojag59060636
·
8h","In Kyiv, a saboteur was detained, whose task was to organize arson in the city.

-
-
-
-
#UkraineUnderAttack #Ukraine #RussiaUkraineWar #russianinvasion #Kyiv
10
91
286",,10,91,286,[],https://twitter.com/berojag59060636/status/1497576420994064391
373,The Lincoln Watchman,@LincolnWatchman,2022-02-26T10:56:27.000Z,"The Lincoln Watchman
@LincolnWatchman
·
12h","This Ukrainian says it all. You listening, 
@KremlinRussia_E
? 

#UkraineRussiaWar #UkraineInvasion #StandWithUkriane
0:07
11.1K views
4
124
430",👀,4,124,430,[],https://twitter.com/LincolnWatchman/status/1497525966796640256
374,Ukraine live,@berojag59060636,2022-02-26T17:28:08.000Z,"Ukraine live
@berojag59060636
·
5h","#Ukraine Tearful reunions at the Poland-Ukraine border.

#poland #Ukraine #UkraineRussia #UkraineUnderAttack
5
48
378",,5,48,378,[],https://twitter.com/berojag59060636/status/1497624537655279616
375,UKRAINE VS RUSSIA WORLD WAR 3 UPDATES,@UkraineWWIII,2022-02-26T04:09:13.000Z,"UKRAINE VS RUSSIA WORLD WAR 3 UPDATES
@UkraineWWIII
·
18h","#BREAKINGNEWS Kyiv Citizens right now fighting back Russian Tanks
#UkraineUnderAttack #Ukraine #Russia #UkraineRussia #UkraineInvasion
7
445
1,058",,7,445,"1,058",[],https://twitter.com/UkraineWWIII/status/1497423480861585415
376,RickieLeakz,@rickieleakz,2022-02-26T09:55:10.000Z,"RickieLeakz
@rickieleakz
·
13h","Meet 'Rambo', a pup guarding post with Ukranian soldiers. #Ukraine #Russia #UkraineResist
10
138
847",,10,138,847,[],https://twitter.com/rickieleakz/status/1497510543518838787
377,Ω,@w4rw4tcher,2022-02-26T12:00:07.000Z,"Ω
@w4rw4tcher
·
11h","Chechen units heading to Ukraine. #Ukraine #Chechen #Russia
0:15
252.9K views
1
213
534",,1,213,534,[],https://twitter.com/w4rw4tcher/status/1497541988576595968
378,Mansoor Nisar,@Mansoornisar123,2022-02-26T11:34:14.000Z,"Mansoor Nisar
@Mansoornisar123
·
11h","Russian soldiers captured by Ukrainian civilians... #UkraineRussiaWar #Ukraine #RussiaUkraineWar #Kiev
59
215
1,162",,59,215,"1,162",[],https://twitter.com/Mansoornisar123/status/1497535474667163651
379,WW3 updates,@DoginAdoptme1,2022-02-26T16:10:32.000Z,"WW3 updates
@DoginAdoptme1
·
6h","Zelensky Drinking Coffee In the front line.#Russia #Ukraine
8
14
231",,8,14,231,[],https://twitter.com/DoginAdoptme1/status/1497605005637038082
380,News 24/7,@Alexandr7_S,2022-02-26T13:17:04.000Z,"News 24/7
@Alexandr7_S
·
9h"," People rush under the tanks, they don't let them in!!! #news #war #Ukraine #RussiaUkraineConflict #UkraineWar
4
63
152",😳 😳 😳,4,63,152,[],https://twitter.com/Alexandr7_S/status/1497561353485230080
381,We Stand With Ukraine,@jogarcia618,2022-02-26T05:14:13.000Z,"We Stand With Ukraine
@jogarcia618
·
17h","Ukrainian woman that confronted the Russian soldiers, she told them to put the seeds (sunflower seeds, national plant in Ukraine) in their pockets. She is fearless woman #Ukraine #UkraineRussia #UkraineUnderAttack #RussiaUkraineConflict
1:00
81.3K views
23
174
843",,23,174,843,[],https://twitter.com/jogarcia618/status/1497439838273998851
382,Updated Videos in Ukraine,@UpdatedUkraine,2022-02-26T15:24:56.000Z,"Updated Videos in Ukraine
@UpdatedUkraine
·
7h"," With sticks, irons and dozens of Molotov cocktails: Ukraine's residents are preparing to stop the Russians from occupying Kiev in any way possible. 

#Ukraine #Russia #War #Kyiv
29
111
778",⚠,29,111,778,[],https://twitter.com/UpdatedUkraine/status/1497593532487458816
383,Ukraine Under Attacks,@YuliiaMerkushe1,2022-02-26T11:07:28.000Z,"Ukraine Under Attacks
@YuliiaMerkushe1
·
11h","""Mom, dad, I didn't want to come here. They forced me.""  A couple more captured invaders near Kharkov, one of whom is ready to fight on the side of Ukraine.

#UkraineUnderAttack 
#UkraineRussiaWar 
#StopRussia
#UkraineInvasion 
#UkraineRussiaConflict
6
42
150",,6,42,150,[],https://twitter.com/YuliiaMerkushe1/status/1497528737386184712
384,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T14:37:57.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
8h","NOW: Russian rocket hits civilian building in Kyiv.

#Russia #Ukraine #Kyiv #RussianRockets
28
110
402",,28,110,402,[],https://twitter.com/WW32022/status/1497581708182437893
385,WORLD WAR 3 - RUSSIA vs Ukraine #2022,@WW32022,2022-02-26T15:19:52.000Z,"WORLD WAR 3 - RUSSIA vs Ukraine #2022
@WW32022
·
7h","Wladimir Klitschko sends a message to the world: “STOP THE WAR THAT RUSSIA HAS STARTED”.

#WladimirKlitschko #StoptheWar #Russia #Ukraine #RussiaUkraineWar #RussiaUkraineConflict
22
153
739",,22,153,739,[],https://twitter.com/WW32022/status/1497592254499893251
386,Al' Minhaaj,@minhaaaju,2022-02-26T08:01:55.000Z,"Al' Minhaaj
@minhaaaju
·
15h","Ukrainian soldier shows the badges he took from the Russian soldiers when killed  !

#UkraineWar #Ukraine #UkraineRussiaCrisis #UkraineUnderAttack #RussiaUkraineWar
0:25
66.9K views
8
79
596",✊,8,79,596,[],https://twitter.com/minhaaaju/status/1497482041159720962
387,Hussein Naaji,@HusseinNajji,2022-02-26T04:35:27.000Z,"Hussein Naaji
@HusseinNajji
·
18h","Kyiv Citizens right now fighting back Russian Tanks
#UkraineUnderAttack #Ukraine #Russia #UkraineRussia #UkraineInvasion
30
93
507",,30,93,507,[],https://twitter.com/HusseinNajji/status/1497430085078560774
388,We Stand With Ukraine,@jogarcia618,2022-02-26T00:57:50.000Z,"We Stand With Ukraine
@jogarcia618
·
22h","We finally have an image of the legendary “Ghost of Kyiv”, long live this legend! #Ukraine
#UkraineRussiaConflict
#UkraineUnderAttack #UkraineWar
#RussiaUkraineWar
65
432
3,543",,65,432,"3,543",[],https://twitter.com/jogarcia618/status/1497375318126075910
389,Russia-Ukraine Latest News,@RussiaUkraineNs,2022-02-26T03:40:09.000Z,"Russia-Ukraine Latest News
@RussiaUkraineNs
·
19h","Pres. Volodymyr Zelensky drinks coffee in his military base defending the capital, Kiev against Russians.
NO PRESIDENT HAS EVER DONE THIS! 

 #Ukraine #Russia #Kiyv #UkraineRussia #UkraineUnderAttack #UkraineWar
22
178
1,032",😱 ❤,22,178,"1,032",[],https://twitter.com/RussiaUkraineNs/status/1497416167585366018
